season,race_name,driver,team,fp1_pos,fp1_time_fastest_lap,fp2_pos,fp2_time_fastest_lap,fp3_pos,fp3_time_fastest_lap,Qualifying_Final_Grid_Position,Q1_time_seconds,Q1_position,Q1_fastest_lap,Q2_time_seconds,Q2_position,Q2_fastest_lap,Q3_time_seconds,Q3_position,Q3_fastest_lap,Race_Finishing_Position,fastest_lap
2024,Canadian Grand Prix,MAG,Haas,13.0,1:29.052,6.0,1:16.772,11.0,1:13.438,14,73.217,13.0,1:13.216,72.916,14.0,1:12.915,,,,12.0,1:16.498
2024,Canadian Grand Prix,NOR,McLaren,1.0,1:24.435,20.0,1:20.843,7.0,1:13.293,3,72.959,6.0,1:12.959,72.201,3.0,1:12.200,72.021,3.0,1:12.021,2.0,1:15.558
2024,Canadian Grand Prix,OCO,Alpine,,,11.0,1:17.417,19.0,1:14.075,18,73.435,18.0,1:13.435,,,,,,,10.0,1:17.012
2024,Canadian Grand Prix,PER,Red Bull,9.0,1:28.058,10.0,1:17.040,9.0,1:13.341,16,73.326,16.0,1:13.325,,,,,,,18.0,1:18.819
2024,Canadian Grand Prix,PIA,McLaren,6.0,1:26.754,16.0,1:19.007,5.0,1:13.266,4,72.907,5.0,1:12.906,72.462,5.0,1:12.462,72.103,4.0,1:12.102,5.0,1:16.246
2024,Canadian Grand Prix,RIC,RB,11.0,1:28.581,5.0,1:16.730,6.0,1:13.278,5,73.24,14.0,1:13.239,72.572,8.0,1:12.572,72.178,5.0,1:12.177,8.0,1:17.075
2024,Canadian Grand Prix,RUS,Mercedes,10.0,1:28.540,2.0,1:16.272,3.0,1:12.956,1,73.013,7.0,1:13.013,71.742,1.0,1:11.742,72.0,1.0,1:12.000,3.0,1:14.894
2024,Canadian Grand Prix,SAI,Ferrari,2.0,1:24.763,13.0,1:17.721,12.0,1:13.569,12,73.038,8.0,1:13.037,72.728,12.0,1:12.727,,,,16.0,1:18.956
2024,Canadian Grand Prix,SAR,Williams,,,12.0,1:17.495,14.0,1:13.662,13,73.063,9.0,1:13.063,72.736,13.0,1:12.736,,,,20.0,1:26.483
2024,Canadian Grand Prix,STR,Aston Martin,,,3.0,1:16.463,4.0,1:13.025,9,73.088,10.0,1:13.087,72.659,10.0,1:12.659,72.701,9.0,1:12.700,7.0,1:16.762
2024,Canadian Grand Prix,TSU,RB,12.0,1:28.722,8.0,1:16.950,15.0,1:13.715,8,72.748,2.0,1:12.748,72.303,4.0,1:12.302,72.414,8.0,1:12.414,14.0,1:17.308
2024,Canadian Grand Prix,VER,Red Bull,5.0,1:26.501,18.0,1:19.311,2.0,1:12.923,2,72.36,1.0,1:12.359,72.549,7.0,1:12.549,72.0,2.0,1:12.000,1.0,1:15.569
2024,Canadian Grand Prix,ZHO,Kick Sauber,,,,,,,20,74.292,20.0,1:14.292,,,,,,,15.0,1:17.325
2024,Dutch Grand Prix,ALB,Williams,6.0,1:13.159,10.0,1:11.549,14.0,1:24.007,10,,,,70.768,7.0,1:10.768,70.653,8.0,1:10.653,14.0,1:14.433
