season,race_name,driver,team,fp1_pos,fp1_time_fastest_lap,fp2_pos,fp2_time_fastest_lap,fp3_pos,fp3_time_fastest_lap,Qualifying_Final_Grid_Position,Q1_fastest_lap,Q2_fastest_lap,Q3_fastest_lap,Race_Finishing_Position,fastest_lap
2024,Azerbaijan Grand Prix,ALB,Williams,17.0,1:47.954,13.0,1:44.736,8.0,1:43.194,10.0,1:42.899,1:42.840,1:42.858,7.0,1:46.947
2024,Azerbaijan Grand Prix,ALO,Aston Martin,7.0,1:46.451,12.0,1:44.683,11.0,1:43.474,8.0,1:43.471,1:42.426,1:42.368,6.0,1:47.057
2024,Azerbaijan Grand Prix,BEA,Haas F1 Team,,,,,,,11.0,1:43.471,1:42.968,,10.0,1:47.048
2024,Azerbaijan Grand Prix,BOT,Kick Sauber,,,,,,,17.0,1:43.617,,,16.0,1:48.418
2024,Azerbaijan Grand Prix,BOT,Sauber,14.0,1:47.640,15.0,1:44.784,17.0,1:44.186,,,,,,
2024,Azerbaijan Grand Prix,COL,Williams,16.0,1:47.900,14.0,1:44.748,9.0,1:43.237,9.0,1:43.138,1:42.472,1:42.530,8.0,1:47.274
2024,Azerbaijan Grand Prix,GAS,Alpine,18.0,1:48.712,18.0,1:45.391,15.0,1:43.876,15.0,,1:43.179,,12.0,1:48.018
2024,Azerbaijan Grand Prix,HAM,Mercedes,2.0,1:45.858,3.0,1:43.549,10.0,1:43.301,7.0,1:43.088,1:42.765,1:42.289,9.0,1:47.236
2024,Azerbaijan Grand Prix,HUL,Haas,12.0,1:47.135,8.0,1:44.474,16.0,1:44.164,,,,,,
2024,Azerbaijan Grand Prix,HUL,Haas F1 Team,,,,,,,13.0,1:43.100,1:43.191,,11.0,1:47.691
2024,Azerbaijan Grand Prix,LEC,Ferrari,9.0,1:46.608,1.0,1:43.483,2.0,1:42.527,1.0,1:42.775,1:42.055,1:41.364,2.0,1:47.066
2024,Azerbaijan Grand Prix,NOR,McLaren,4.0,1:46.027,17.0,1:45.156,3.0,1:42.736,16.0,1:43.608,,,4.0,1:45.254
2024,Azerbaijan Grand Prix,OCO,Alpine,,,,,,,19.0,1:44.504,,,15.0,1:48.831
2024,Azerbaijan Grand Prix,PER,Red Bull,3.0,1:45.921,2.0,1:43.489,7.0,1:43.024,,,,,,
2024,Azerbaijan Grand Prix,PER,Red Bull Racing,,,,,,,4.0,1:43.212,1:42.263,1:41.813,17.0,1:47.013
2024,Azerbaijan Grand Prix,PIA,McLaren,6.0,1:46.281,5.0,1:43.983,4.0,1:42.748,2.0,1:43.033,1:42.597,1:41.686,1.0,1:47.060
2024,Azerbaijan Grand Prix,RIC,RB,10.0,1:46.686,16.0,1:45.055,14.0,1:43.870,15.0,1:43.546,,,13.0,1:48.379
2024,Azerbaijan Grand Prix,RUS,Mercedes,8.0,1:46.516,9.0,1:44.536,1.0,1:42.513,5.0,1:43.138,1:42.328,1:41.873,3.0,1:46.628
2024,Azerbaijan Grand Prix,SAI,Ferrari,5.0,1:46.173,4.0,1:43.950,6.0,1:42.968,3.0,1:43.356,1:42.503,1:41.805,18.0,1:46.865
2024,Azerbaijan Grand Prix,STR,Aston Martin,13.0,1:47.183,7.0,1:44.093,13.0,1:43.570,14.0,1:43.370,1:43.403,,19.0,1:48.147
2024,Azerbaijan Grand Prix,TSU,RB,15.0,1:47.707,11.0,1:44.644,12.0,1:43.503,12.0,1:43.337,1:43.034,,20.0,1:50.887
2024,Azerbaijan Grand Prix,VER,Red Bull,1.0,1:45.546,6.0,1:44.028,5.0,1:42.861,,,,,,
2024,Azerbaijan Grand Prix,VER,Red Bull Racing,,,,,,,6.0,1:43.096,1:42.042,1:42.022,5.0,1:46.798
2024,Azerbaijan Grand Prix,ZHO,Kick Sauber,,,,,,,18.0,1:44.245,,,14.0,1:47.644
2024,Azerbaijan Grand Prix,ZHO,Sauber,19.0,1:49.052,20.0,1:45.947,18.0,1:44.868,,,,,,
2024,Bahrain Grand Prix,ALB,Williams,13.0,1:33.582,11.0,1:31.332,15.0,1:31.965,13.0,1:30.397,1:30.221,,15.0,1:35.722
2024,Bahrain Grand Prix,ALO,Aston Martin,5.0,1:33.192,3.0,1:30.659,2.0,1:30.965,6.0,1:30.179,1:29.801,1:29.542,9.0,1:34.198
2024,Bahrain Grand Prix,BOT,Kick Sauber,,,,,,,16.0,1:30.756,,,19.0,1:36.201
2024,Bahrain Grand Prix,BOT,Sauber,10.0,1:33.353,17.0,1:32.001,17.0,1:32.096,,,,,,
2024,Bahrain Grand Prix,GAS,Alpine,18.0,1:35.144,16.0,1:31.950,20.0,1:32.382,20.0,1:30.947,,,18.0,1:34.805
2024,Bahrain Grand Prix,HAM,Mercedes,9.0,1:33.302,1.0,1:30.373,12.0,1:31.451,9.0,1:30.450,1:29.718,1:29.709,7.0,1:34.721
2024,Bahrain Grand Prix,HUL,Haas,20.0,1:37.938,7.0,1:30.884,9.0,1:31.278,,,,,,
2024,Bahrain Grand Prix,HUL,Haas F1 Team,,,,,,,10.0,1:30.566,1:29.850,1:30.501,16.0,1:34.834
2024,Bahrain Grand Prix,LEC,Ferrari,8.0,1:33.268,9.0,1:31.112,4.0,1:31.093,2.0,1:30.242,1:29.165,1:29.406,4.0,1:34.090
2024,Bahrain Grand Prix,MAG,Haas,19.0,1:37.477,14.0,1:31.763,14.0,1:31.671,,,,,,
2024,Bahrain Grand Prix,MAG,Haas F1 Team,,,,,,,15.0,1:30.646,1:30.528,,12.0,1:35.569
2024,Bahrain Grand Prix,NOR,McLaren,2.0,1:32.900,20.0,1:32.608,5.0,1:31.117,7.0,1:30.143,1:29.941,1:29.614,6.0,1:34.475
2024,Bahrain Grand Prix,OCO,Alpine,17.0,1:34.807,18.0,1:32.027,18.0,1:32.123,19.0,1:30.793,,,17.0,1:36.225
2024,Bahrain Grand Prix,PER,Red Bull,12.0,1:33.412,10.0,1:31.114,8.0,1:31.248,,,,,,
2024,Bahrain Grand Prix,PER,Red Bull Racing,,,,,,,5.0,1:30.221,1:29.932,1:29.537,2.0,1:34.364
2024,Bahrain Grand Prix,PIA,McLaren,3.0,1:33.112,5.0,1:30.784,7.0,1:31.209,8.0,1:30.531,1:30.121,1:29.683,8.0,1:34.774
2024,Bahrain Grand Prix,RIC,RB,1.0,1:32.868,12.0,1:31.516,11.0,1:31.448,14.0,1:30.561,1:30.278,,13.0,1:35.162
2024,Bahrain Grand Prix,RUS,Mercedes,7.0,1:33.251,2.0,1:30.579,6.0,1:31.189,3.0,1:30.349,1:29.921,1:29.484,5.0,1:35.064
2024,Bahrain Grand Prix,SAI,Ferrari,11.0,1:33.385,4.0,1:30.769,1.0,1:30.823,4.0,1:29.909,1:29.572,1:29.507,3.0,1:34.507
2024,Bahrain Grand Prix,SAR,Williams,16.0,1:34.212,13.0,1:31.715,19.0,1:32.125,18.0,1:30.769,,,20.0,1:34.734
2024,Bahrain Grand Prix,STR,Aston Martin,14.0,1:33.867,8.0,1:30.891,10.0,1:31.396,12.0,1:29.965,1:30.200,,10.0,1:35.632
2024,Bahrain Grand Prix,TSU,RB,4.0,1:33.183,15.0,1:31.881,13.0,1:31.631,11.0,1:30.480,1:30.129,,14.0,1:35.832
2024,Bahrain Grand Prix,VER,Red Bull,6.0,1:33.237,6.0,1:30.850,3.0,1:31.061,,,,,,
2024,Bahrain Grand Prix,VER,Red Bull Racing,,,,,,,1.0,1:30.031,1:29.373,1:29.179,1.0,1:32.608
2024,Bahrain Grand Prix,ZHO,Kick Sauber,,,,,,,17.0,1:30.757,,,11.0,1:35.457
2024,Bahrain Grand Prix,ZHO,Sauber,15.0,1:33.923,19.0,1:32.048,16.0,1:32.000,,,,,,
2024,British Grand Prix,ALB,Williams,16.0,1:28.649,13.0,1:27.644,11.0,1:39.602,9.0,1:31.135,1:26.933,1:26.640,9.0,1:29.718
2024,British Grand Prix,ALO,Aston Martin,6.0,1:27.793,11.0,1:27.371,8.0,1:38.939,10.0,1:31.263,1:26.730,1:26.917,8.0,1:29.709
2024,British Grand Prix,BOT,Kick Sauber,,,,,,,16.0,1:32.430,,,15.0,1:31.277
2024,British Grand Prix,BOT,Sauber,12.0,1:28.254,12.0,1:27.381,15.0,1:40.242,,,,,,
2024,British Grand Prix,GAS,Alpine,,,,,,,20.0,1:39.804,,,20.0,
2024,British Grand Prix,HAM,Mercedes,7.0,1:27.858,6.0,1:27.201,3.0,1:37.563,2.0,1:29.546,1:26.769,1:25.989,1.0,1:29.438
2024,British Grand Prix,HUL,Haas,11.0,1:28.081,4.0,1:26.989,10.0,1:39.340,,,,,,
2024,British Grand Prix,HUL,Haas F1 Team,,,,,,,6.0,1:31.929,1:26.846,1:26.337,6.0,1:29.835
2024,British Grand Prix,LEC,Ferrari,8.0,1:27.903,5.0,1:27.150,7.0,1:38.453,11.0,1:30.495,1:27.096,,14.0,1:29.748
2024,British Grand Prix,MAG,Haas,,,20.0,1:28.121,17.0,1:40.539,,,,,,
2024,British Grand Prix,MAG,Haas F1 Team,,,,,,,17.0,1:32.905,,,12.0,1:30.093
2024,British Grand Prix,NOR,McLaren,1.0,1:27.420,1.0,1:26.549,4.0,1:37.713,3.0,1:31.596,1:26.558,1:26.030,3.0,1:29.262
2024,British Grand Prix,OCO,Alpine,10.0,1:27.974,15.0,1:27.742,16.0,1:40.430,18.0,1:34.557,,,16.0,1:30.875
2024,British Grand Prix,PER,Red Bull,,,3.0,1:26.983,9.0,1:39.284,,,,,,
2024,British Grand Prix,PER,Red Bull Racing,,,,,,,19.0,1:38.347,,,17.0,1:29.706
2024,British Grand Prix,PIA,McLaren,3.0,1:27.631,2.0,1:26.879,1.0,1:36.653,5.0,1:30.894,1:26.733,1:26.236,4.0,1:28.748
2024,British Grand Prix,RIC,RB,13.0,1:28.477,19.0,1:27.915,18.0,1:40.822,15.0,1:31.290,1:27.948,,13.0,1:30.734
2024,British Grand Prix,RUS,Mercedes,5.0,1:27.737,10.0,1:27.293,2.0,1:37.528,1.0,1:30.105,1:26.722,1:25.819,19.0,1:31.298
2024,British Grand Prix,SAI,Ferrari,9.0,1:27.924,8.0,1:27.248,5.0,1:38.138,7.0,1:30.557,1:26.843,1:26.509,5.0,1:28.293
2024,British Grand Prix,SAR,Williams,,,17.0,1:27.808,13.0,1:39.701,12.0,1:31.608,1:27.174,,11.0,1:29.971
2024,British Grand Prix,STR,Aston Martin,2.0,1:27.554,9.0,1:27.274,12.0,1:39.700,8.0,1:31.409,1:26.938,1:26.584,7.0,1:29.897
2024,British Grand Prix,TSU,RB,20.0,1:29.864,16.0,1:27.745,14.0,1:39.819,13.0,1:30.993,1:27.269,,10.0,1:30.228
2024,British Grand Prix,VER,Red Bull,4.0,1:27.728,7.0,1:27.233,6.0,1:38.393,,,,,,
2024,British Grand Prix,VER,Red Bull Racing,,,,,,,4.0,1:31.341,1:26.796,1:26.203,2.0,1:28.951
2024,British Grand Prix,ZHO,Kick Sauber,,,,,,,14.0,1:31.189,1:27.867,,18.0,1:31.013
2024,British Grand Prix,ZHO,Sauber,15.0,1:28.590,18.0,1:27.813,19.0,1:41.784,,,,,,
2024,Canadian Grand Prix,ALB,Williams,,,9.0,1:16.977,18.0,1:13.879,10.0,1:12.896,1:12.484,1:12.796,17.0,1:19.358
2024,Canadian Grand Prix,ALO,Aston Martin,,,1.0,1:15.810,8.0,1:13.340,6.0,1:13.117,1:12.635,1:12.227,6.0,1:16.302
2024,Canadian Grand Prix,BOT,Kick Sauber,,,,,,,17.0,1:13.365,,,13.0,1:17.250
2024,Canadian Grand Prix,BOT,Sauber,8.0,1:27.670,14.0,1:17.816,13.0,1:13.641,,,,,,
2024,Canadian Grand Prix,GAS,Alpine,7.0,1:27.584,19.0,1:20.789,16.0,1:13.736,15.0,1:13.289,1:12.939,,9.0,1:17.013
2024,Canadian Grand Prix,HAM,Mercedes,4.0,1:25.969,7.0,1:16.908,1.0,1:12.549,7.0,1:12.850,1:11.978,1:12.280,4.0,1:14.855
2024,Canadian Grand Prix,HUL,Haas,,,15.0,1:17.903,17.0,1:13.777,,,,,,
2024,Canadian Grand Prix,HUL,Haas F1 Team,,,,,,,19.0,1:13.977,,,11.0,1:16.683
2024,Canadian Grand Prix,LEC,Ferrari,3.0,1:25.305,4.0,1:16.555,10.0,1:13.349,11.0,1:13.106,1:12.691,,19.0,1:26.012
2024,Canadian Grand Prix,MAG,Haas,13.0,1:29.052,6.0,1:16.772,11.0,1:13.438,,,,,,
2024,Canadian Grand Prix,MAG,Haas F1 Team,,,,,,,14.0,1:13.216,1:12.915,,12.0,1:16.498
2024,Canadian Grand Prix,NOR,McLaren,1.0,1:24.435,20.0,1:20.843,7.0,1:13.293,3.0,1:12.959,1:12.200,1:12.021,2.0,1:15.558
2024,Canadian Grand Prix,OCO,Alpine,,,11.0,1:17.417,19.0,1:14.075,18.0,1:13.435,,,10.0,1:17.012
2024,Canadian Grand Prix,PER,Red Bull,9.0,1:28.058,10.0,1:17.040,9.0,1:13.341,,,,,,
2024,Canadian Grand Prix,PER,Red Bull Racing,,,,,,,16.0,1:13.325,,,18.0,1:18.819
2024,Canadian Grand Prix,PIA,McLaren,6.0,1:26.754,16.0,1:19.007,5.0,1:13.266,4.0,1:12.906,1:12.462,1:12.102,5.0,1:16.246
2024,Canadian Grand Prix,RIC,RB,11.0,1:28.581,5.0,1:16.730,6.0,1:13.278,5.0,1:13.239,1:12.572,1:12.177,8.0,1:17.075
2024,Canadian Grand Prix,RUS,Mercedes,10.0,1:28.540,2.0,1:16.272,3.0,1:12.956,1.0,1:13.013,1:11.742,1:12.000,3.0,1:14.894
2024,Canadian Grand Prix,SAI,Ferrari,2.0,1:24.763,13.0,1:17.721,12.0,1:13.569,12.0,1:13.037,1:12.727,,16.0,1:18.956
2024,Canadian Grand Prix,SAR,Williams,,,12.0,1:17.495,14.0,1:13.662,13.0,1:13.063,1:12.736,,20.0,1:26.483
2024,Canadian Grand Prix,STR,Aston Martin,,,3.0,1:16.463,4.0,1:13.025,9.0,1:13.087,1:12.659,1:12.700,7.0,1:16.762
2024,Canadian Grand Prix,TSU,RB,12.0,1:28.722,8.0,1:16.950,15.0,1:13.715,8.0,1:12.748,1:12.302,1:12.414,14.0,1:17.308
2024,Canadian Grand Prix,VER,Red Bull,5.0,1:26.501,18.0,1:19.311,2.0,1:12.923,,,,,,
2024,Canadian Grand Prix,VER,Red Bull Racing,,,,,,,2.0,1:12.359,1:12.549,1:12.000,1.0,1:15.569
2024,Canadian Grand Prix,ZHO,Kick Sauber,,,,,,,20.0,1:14.292,,,15.0,1:17.325
2024,Dutch Grand Prix,ALB,Williams,6.0,1:13.159,10.0,1:11.549,14.0,1:24.007,10.0,,1:10.768,1:10.653,14.0,1:14.433
2024,Dutch Grand Prix,ALO,Aston Martin,15.0,1:14.466,6.0,1:11.356,5.0,1:21.460,7.0,1:11.492,1:10.844,1:10.632,10.0,1:14.757
2024,Dutch Grand Prix,BOT,Kick Sauber,,,,,,,17.0,1:12.168,,,19.0,1:15.822
2024,Dutch Grand Prix,BOT,Sauber,,,18.0,1:12.206,3.0,1:21.155,,,,,,
2024,Dutch Grand Prix,GAS,Alpine,,,14.0,1:11.644,1.0,1:20.311,9.0,1:11.718,1:10.814,1:10.977,9.0,1:14.855
2024,Dutch Grand Prix,HAM,Mercedes,3.0,1:13.006,3.0,1:10.813,15.0,1:24.097,11.0,1:11.375,1:10.947,,8.0,1:13.878
2024,Dutch Grand Prix,HUL,Haas,8.0,1:13.563,20.0,1:13.296,9.0,1:22.353,,,,,,
2024,Dutch Grand Prix,HUL,Haas F1 Team,,,,,,,13.0,1:11.831,1:11.215,,11.0,1:15.656
2024,Dutch Grand Prix,LEC,Ferrari,13.0,1:14.305,9.0,1:11.442,16.0,1:24.158,6.0,1:11.370,1:10.688,1:10.581,3.0,1:14.584
2024,Dutch Grand Prix,MAG,Haas,9.0,1:13.596,8.0,1:11.430,2.0,1:20.450,,,,,,
2024,Dutch Grand Prix,MAG,Haas F1 Team,,,,,,,14.0,1:11.629,1:11.295,,18.0,1:14.953
2024,Dutch Grand Prix,NOR,McLaren,1.0,1:12.322,4.0,1:10.960,4.0,1:21.387,1.0,1:11.376,1:10.495,1:09.673,1.0,1:13.816
2024,Dutch Grand Prix,OCO,Alpine,18.0,1:15.796,17.0,1:12.061,6.0,1:21.643,16.0,1:11.995,,,15.0,1:15.390
2024,Dutch Grand Prix,PER,Red Bull Racing,,,,,,,5.0,1:11.006,1:10.677,1:10.415,6.0,1:14.587
2024,Dutch Grand Prix,PIA,McLaren,7.0,1:13.230,2.0,1:10.763,7.0,1:21.849,3.0,1:11.540,1:10.504,1:10.171,4.0,1:14.236
2024,Dutch Grand Prix,RIC,RB,19.0,1:16.230,13.0,1:11.629,18.0,1:25.433,15.0,1:11.942,,,12.0,1:15.221
2024,Dutch Grand Prix,RUS,Mercedes,5.0,1:13.141,1.0,1:10.701,13.0,1:23.957,4.0,1:11.049,1:10.552,1:10.243,7.0,1:13.927
2024,Dutch Grand Prix,SAI,Ferrari,4.0,1:13.073,19.0,1:13.108,10.0,1:22.588,10.0,1:11.326,1:10.914,,5.0,1:14.117
2024,Dutch Grand Prix,SAR,Williams,17.0,1:15.605,15.0,1:11.817,12.0,1:23.287,20.0,,,,16.0,1:15.539
2024,Dutch Grand Prix,STR,Aston Martin,11.0,1:14.150,11.0,1:11.575,8.0,1:21.941,8.0,1:11.518,1:10.661,1:10.856,13.0,1:15.254
2024,Dutch Grand Prix,TSU,RB,,,,,,,12.0,1:11.602,1:10.954,,17.0,1:15.552
2024,Dutch Grand Prix,VER,Red Bull,2.0,1:12.522,5.0,1:10.986,17.0,1:24.359,,,,,,
2024,Dutch Grand Prix,VER,Red Bull Racing,,,,,,,2.0,1:11.393,1:10.811,1:10.028,2.0,1:14.751
2024,Dutch Grand Prix,ZHO,Kick Sauber,,,,,,,18.0,1:13.260,,,20.0,1:15.724
2024,Dutch Grand Prix,ZHO,Sauber,10.0,1:13.965,16.0,1:11.933,11.0,1:23.239,,,,,,
2024,Emilia Romagna Grand Prix,ALB,Williams,19.0,1:20.049,18.0,1:17.135,7.0,1:16.469,14.0,1:16.524,1:16.200,,20.0,1:21.274
2024,Emilia Romagna Grand Prix,ALO,Aston Martin,10.0,1:17.867,10.0,1:16.837,18.0,1:17.338,19.0,1:16.917,,,19.0,1:19.004
2024,Emilia Romagna Grand Prix,BOT,Kick Sauber,,,,,,,16.0,1:16.626,,,18.0,1:21.454
2024,Emilia Romagna Grand Prix,BOT,Sauber,16.0,1:18.826,16.0,1:17.087,14.0,1:16.694,,,,,,
2024,Emilia Romagna Grand Prix,GAS,Alpine,11.0,1:17.905,15.0,1:17.063,19.0,1:17.361,15.0,1:16.015,1:16.381,,16.0,1:21.370
2024,Emilia Romagna Grand Prix,HAM,Mercedes,7.0,1:17.408,4.0,1:16.296,17.0,1:16.959,8.0,1:16.603,1:15.677,1:15.504,6.0,1:20.331
2024,Emilia Romagna Grand Prix,HUL,Haas,20.0,1:21.058,9.0,1:16.825,10.0,1:16.546,,,,,,
2024,Emilia Romagna Grand Prix,HUL,Haas F1 Team,,,,,,,10.0,1:15.840,1:15.569,1:15.980,11.0,1:21.700
2024,Emilia Romagna Grand Prix,LEC,Ferrari,1.0,1:16.989,1.0,1:15.906,4.0,1:16.087,4.0,1:15.822,1:15.328,1:14.969,3.0,1:19.935
2024,Emilia Romagna Grand Prix,MAG,Haas,,,17.0,1:17.129,16.0,1:16.923,,,,,,
2024,Emilia Romagna Grand Prix,MAG,Haas F1 Team,,,,,,,18.0,1:16.853,,,12.0,1:21.009
2024,Emilia Romagna Grand Prix,NOR,McLaren,8.0,1:17.602,12.0,1:16.980,2.0,1:15.828,3.0,1:15.915,1:15.370,1:14.837,2.0,1:19.993
2024,Emilia Romagna Grand Prix,OCO,Alpine,14.0,1:18.611,14.0,1:17.007,8.0,1:16.480,12.0,1:16.361,1:15.906,,14.0,1:21.304
2024,Emilia Romagna Grand Prix,PER,Red Bull,4.0,1:17.233,8.0,1:16.552,12.0,1:16.631,,,,,,
2024,Emilia Romagna Grand Prix,PER,Red Bull Racing,,,,,,,11.0,1:16.403,1:15.706,,8.0,1:19.686
